,p0,p1,p2,p3,p4,trips0,trips1,trips2,trips3,trips4,date,hour,doc_id
345,0.04784768210102535,0.0,0.0,0.9409749198993601,0.0,112.92052975841983,0.0,0.0,2220.70081096249,0.0,2013-10-01,9,345
346,0.0,0.19987587032056445,0.0,0.7954112961072338,0.0,0.0,419.73932767318536,0.0,1670.363721825191,0.0,2013-10-01,10,346
347,0.0,0.0,0.04314738649091996,0.9177397183852025,0.036552982994061775,0.0,0.0,89.57397435514984,1905.2276553676804,75.88399269567225,2013-10-01,11,347
348,0.0,0.3752588729116607,0.0,0.6166778752558126,0.0,0.0,842.4561696866783,0.0,1384.4418299492993,0.0,2013-10-01,12,348
349,0.0,0.5501333111723093,0.0,0.44528863909920996,0.0,0.0,1151.4290202836435,0.0,931.9891216346465,0.0,2013-10-01,13,349
350,0.0,0.0,0.26316387515402156,0.733851255959319,0.0,0.0,0.0,598.960979850553,1670.24545856341,0.0,2013-10-01,14,350
351,0.0,0.0,0.11927356778492869,0.877458870150247,0.0,0.0,0.0,262.640396262413,1932.164432070844,0.0,2013-10-01,15,351
352,0.0,0.38166802495949537,0.012607787635794336,0.6033909865272109,0.0,0.0,681.6590925776587,22.517508717528685,1077.6563019375988,0.0,2013-10-01,16,352
353,0.0,0.0,0.4177031454797201,0.5792031457247898,0.0,0.0,0.0,939.8320773293702,1303.207077880777,0.0,2013-10-01,17,353
354,0.0,0.4063167343679371,0.31316737206439205,0.27896475450865116,0.0,0.0,1142.1563403082712,880.313482873006,784.1699249238184,0.0,2013-10-01,18,354
355,0.09498183357327047,0.0,0.6549328243641945,0.24826410332704463,0.0,294.72862957785827,0.0,2032.2565540020955,770.3635126238195,0.0,2013-10-01,19,355
356,0.0,0.2689149486250183,0.7286734495378744,0.0,0.0,0.0,811.0474850530552,2197.679123806229,0.0,0.0,2013-10-01,20,356
357,0.1875467172106428,0.0,0.8034730249510306,0.0,0.0,545.9484938001813,0.0,2338.90997563245,0.0,0.0,2013-10-01,21,357
358,0.011929987394599408,0.14628717451378992,0.584665267977738,0.0,0.2563547012737612,31.184987049482853,382.39467417904683,1528.315010493807,0.0,670.1111891296117,2013-10-01,22,358
359,0.0,0.0,0.47979346899368985,0.0,0.5180343238296635,0.0,0.0,1003.7279371347992,0.0,1083.7278054516562,2013-10-01,23,359
360,0.0,0.0,0.6228477475176126,0.0,0.3757223732893098,0.0,0.0,1980.0329893584906,0.0,1194.421424686716,2013-10-27,0,360
361,0.0,0.0,0.094641857616824,0.0,0.903590797755465,0.0,0.0,277.77385210537847,0.0,2652.0389914122898,2013-10-27,1,361
362,0.0,0.0,0.026301700703297938,0.0,0.969676945629477,0.0,0.0,68.96305924404719,0.0,2542.492951440489,2013-10-27,2,362
363,0.0,0.0,0.0,0.0,0.997617358861513,0.0,0.0,0.0,0.0,1985.2585441344108,2013-10-27,3,363
364,0.0,0.0,0.0,0.03088620063736617,0.9666653515196194,0.0,0.0,0.0,42.49941207701585,1330.1315236909963,2013-10-27,4,364
365,0.0,0.0,0.0,0.1995421112906223,0.7948756884185424,0.0,0.0,0.0,116.13350877114217,462.6176506595917,2013-10-27,5,365
366,0.0,0.0,0.0,0.718971448706463,0.2745858404774015,0.0,0.0,0.0,356.60983855840567,136.19457687679113,2013-10-27,6,366
367,0.03333685596294037,0.0,0.0,0.7906143455672933,0.17102263180692132,23.802515157539425,0.0,0.0,564.4986427350474,122.11015911014182,2013-10-27,7,367
368,0.0,0.0,0.0,0.8898600375730878,0.10487726820222841,0.0,0.0,0.0,872.0628368216261,102.77972283818384,2013-10-27,8,368
369,0.23311288316478027,0.0,0.0,0.7460833030922136,0.01393647660343222,352.4666793451478,0.0,0.0,1128.077954275427,21.071952624389517,2013-10-27,9,369
370,0.0,0.47925281900621247,0.0,0.5134378039703822,0.0,0.0,946.5243175372697,0.0,1014.0396628415049,0.0,2013-10-27,10,370
371,0.16259925213271573,0.0,0.11718318893826432,0.7177041415560537,0.0,369.4255008455301,0.0,266.24020526773654,1630.6238096153538,0.0,2013-10-27,11,371
372,0.0,0.0,0.25698888329711794,0.7401735920662256,0.0,0.0,0.0,673.0538853551519,1938.5146376214448,0.0,2013-10-27,12,372
373,0.0,0.0,0.28913452057146327,0.7081348121108779,0.0,0.0,0.0,732.9560096486593,1795.1217487010756,0.0,2013-10-27,13,373
374,0.0,0.8057694251875717,0.0,0.1903358728295019,0.0,0.0,1894.363918615981,0.0,447.47963702215895,0.0,2013-10-27,14,374
375,0.0,0.0503936795121385,0.37309900142110985,0.5747004664782375,0.0,0.0,111.72278747841106,827.1604861506006,1274.1109341822525,0.0,2013-10-27,15,375
376,0.0,0.12067156831216026,0.18255996377478942,0.5985892686029083,0.09705970528356368,0.0,231.56873959103555,350.3325704838209,1148.692806448981,186.2575744391587,2013-10-27,16,376
377,0.0,0.7159574973422783,0.1273676225322637,0.15468591101103227,0.0,0.0,1540.740534280583,274.0951236894315,332.88408049574144,0.0,2013-10-27,17,377
378,0.1659077534669256,0.0,0.4016978243086414,0.430009473883512,0.0,404.15128744543074,0.0,978.5359000158505,1047.5030783802354,0.0,2013-10-27,18,378
379,0.0,0.5243404241123382,0.3970002672894224,0.0397704892008697,0.03811743535439983,0.0,1208.6046775789396,915.0856161021186,91.67097760800466,87.86068849189161,2013-10-27,19,379
380,0.0,0.0,0.8627776795858009,0.13433739820897922,0.0,0.0,0.0,1862.7370102257441,290.03444273318615,0.0,2013-10-27,20,380
381,0.0,0.2411047763747322,0.6858196715982453,0.0,0.07059342567220855,0.0,474.494199905473,1349.6931137053468,0.0,138.92786172290644,2013-10-27,21,381
382,0.0,0.0,0.9951001254952352,0.0,0.0,0.0,0.0,1718.5379167302713,0.0,0.0,2013-10-27,22,382
383,0.0,0.0,0.8585107213960296,0.0,0.138450186955092,0.0,0.0,1173.5841561483724,0.0,189.26140556761078,2013-10-27,23,383
384,0.20100704095970875,0.0,0.33751301554180024,0.0,0.46031424166000673,644.8305873987457,0.0,1082.741753858095,0.0,1476.6880872453016,2013-10-06,0,384
385,0.0,0.0,0.029551928274980353,0.0,0.9686160866482436,0.0,0.0,81.85884132169558,0.0,2683.066560015635,2013-10-06,1,385
386,0.0,0.0,0.0,0.0,0.9961840661350423,0.0,0.0,0.0,0.0,2445.631882361529,2013-10-06,2,386
387,0.0,0.0,0.0,0.0,0.9969543910343924,0.0,0.0,0.0,0.0,1873.2773007536234,2013-10-06,3,387
388,0.0,0.0,0.0,0.04584568607907686,0.9512349062516319,0.0,0.0,0.0,52.81423036309654,1095.8226120018799,2013-10-06,4,388
389,0.22911419803678085,0.0,0.0,0.16970812217018694,0.5963336716593275,122.34698175164097,0.0,0.0,90.62413723887983,318.4421806660809,2013-10-06,5,389
390,0.0,0.0,0.0,0.6738072862411963,0.319129281908019,0.0,0.0,0.0,342.29410141052773,162.11767520927364,2013-10-06,6,390
391,0.0,0.0,0.23431927489562832,0.6767322672419482,0.08404837989270081,0.0,0.0,152.07320940726277,439.1992414400244,54.54739855036282,2013-10-06,7,391
392,0.029271893215474354,0.0,0.40970834051227856,0.5556840950296662,0.0,29.476796467982673,0.0,412.5762988958645,559.5738836948739,0.0,2013-10-06,8,392
